,Unnamed: 0,startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
0,0,1518301200,1518337260,0,2018-02-10,22:20:00,2018-02-11,8:21:00
1,1,1518398700,1518423600,0,2018-02-12,1:25:00,2018-02-12,8:20:00
2,2,1518479460,1518502080,0,2018-02-12,23:51:00,2018-02-13,6:08:00
3,3,1518553260,1518582000,0,2018-02-13,20:21:00,2018-02-14,4:20:00
4,4,1518741000,1518771240,0,2018-02-16,0:30:00,2018-02-16,8:54:00
5,5,1518821220,1518846360,0,2018-02-16,22:47:00,2018-02-17,5:46:00
6,6,1518902880,1518932040,0,2018-02-17,21:28:00,2018-02-18,5:34:00
7,7,1518988740,1519016040,0,2018-02-18,21:19:00,2018-02-19,4:54:00
8,8,1519075020,1519105020,0,2018-02-19,21:17:00,2018-02-20,5:37:00
9,9,1519164360,1519187100,0,2018-02-20,22:06:00,2018-02-21,4:25:00
10,10,1519251960,1519285620,0,2018-02-21,22:26:00,2018-02-22,7:47:00
11,11,1519338000,1519374780,0,2018-02-22,22:20:00,2018-02-23,8:33:00
12,12,1519417980,1519445460,0,2018-02-23,20:33:00,2018-02-24,4:11:00
13,13,1519502160,1519533480,0,2018-02-24,19:56:00,2018-02-25,4:38:00
14,14,1519595700,1519623060,0,2018-02-25,21:55:00,2018-02-26,5:31:00
15,15,1519680780,1519708440,0,2018-02-26,21:33:00,2018-02-27,5:14:00
16,16,1519768140,1519807800,0,2018-02-27,21:49:00,2018-02-28,8:50:00
17,17,1519851540,1519892700,0,2018-02-28,20:59:00,2018-03-01,8:25:00
18,18,1519958400,1519983780,0,2018-03-02,2:40:00,2018-03-02,9:43:00
19,19,1520210580,1520247060,0,2018-03-05,0:43:00,2018-03-05,10:51:00
20,20,1520299860,1520336460,0,2018-03-06,1:31:00,2018-03-06,11:41:00
21,21,1520379720,1520403900,0,2018-03-06,23:42:00,2018-03-07,6:25:00
22,22,1520475900,1520507280,0,2018-03-08,2:25:00,2018-03-08,11:08:00
23,23,1520649420,1520655720,0,2018-03-10,2:37:00,2018-03-10,4:22:00
24,24,1520734140,1520752800,0,2018-03-11,2:09:00,2018-03-11,7:20:00
25,25,1520823780,1520837520,0,2018-03-12,3:03:00,2018-03-12,6:52:00
26,26,1520908620,1520936880,0,2018-03-13,2:37:00,2018-03-13,10:28:00
27,27,1520987100,1521018840,0,2018-03-14,0:25:00,2018-03-14,9:14:00
28,28,1521170400,1521199560,0,2018-03-16,3:20:00,2018-03-16,11:26:00
29,29,1521595620,1521622500,0,2018-03-21,1:27:00,2018-03-21,8:55:00
30,30,1521684900,1521702660,0,2018-03-22,2:15:00,2018-03-22,7:11:00
31,31,1521765840,1521789780,0,2018-03-23,0:44:00,2018-03-23,7:23:00
32,32,1521844260,1521855180,0,2018-03-23,22:31:00,2018-03-24,1:33:00
33,33,1522279800,1522304520,0,2018-03-28,23:30:00,2018-03-29,6:22:00
34,34,1522376580,1522402260,0,2018-03-30,2:23:00,2018-03-30,9:31:00
35,35,1522453920,1522478520,0,2018-03-30,23:52:00,2018-03-31,6:42:00
36,36,1522549440,1522587180,0,2018-04-01,2:24:00,2018-04-01,12:53:00
37,37,1522643760,1522672020,0,2018-04-02,4:36:00,2018-04-02,12:27:00
38,38,1522816260,1522847280,0,2018-04-04,4:31:00,2018-04-04,13:08:00
39,39,1523067240,1523105580,0,2018-04-07,2:14:00,2018-04-07,12:53:00
40,40,1523141100,1523152980,0,2018-04-07,22:45:00,2018-04-08,2:03:00
41,41,1523243040,1523276160,0,2018-04-09,3:04:00,2018-04-09,12:16:00
42,42,1523658180,1523698500,0,2018-04-13,22:23:00,2018-04-14,9:35:00
43,43,1523742180,1523781360,0,2018-04-14,21:43:00,2018-04-15,8:36:00
44,44,1523917140,1523945100,0,2018-04-16,22:19:00,2018-04-17,6:05:00
