,Unnamed: 0,startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
0,0,1517957940,1517984100,0,2018-02-06,22:59:00,2018-02-07,6:15:00
1,1,1518044640,1518082020,0,2018-02-07,23:04:00,2018-02-08,9:27:00
2,2,1518133560,1518165540,0,2018-02-08,23:46:00,2018-02-09,8:39:00
3,3,1518217200,1518245100,0,2018-02-09,23:00:00,2018-02-10,6:45:00
4,4,1518301500,1518339480,0,2018-02-10,22:25:00,2018-02-11,8:58:00
5,5,1518397560,1518423960,0,2018-02-12,1:06:00,2018-02-12,8:26:00
6,6,1518478620,1518507960,0,2018-02-12,23:37:00,2018-02-13,7:46:00
7,7,1518564180,1518587340,0,2018-02-13,23:23:00,2018-02-14,5:49:00
8,8,1518651300,1518680700,0,2018-02-14,23:35:00,2018-02-15,7:45:00
9,9,1518738180,1518767580,0,2018-02-15,23:43:00,2018-02-16,7:53:00
10,10,1518824040,1518850860,0,2018-02-16,23:34:00,2018-02-17,7:01:00
11,11,1518910260,1518936600,0,2018-02-17,23:31:00,2018-02-18,6:50:00
12,12,1518991860,1519021920,0,2018-02-18,22:11:00,2018-02-19,6:32:00
13,13,1519080660,1519109580,0,2018-02-19,22:51:00,2018-02-20,6:53:00
14,14,1519167540,1519192200,0,2018-02-20,22:59:00,2018-02-21,5:50:00
15,15,1519253100,1519287480,0,2018-02-21,22:45:00,2018-02-22,8:18:00
16,16,1519336320,1519362900,0,2018-02-22,21:52:00,2018-02-23,5:15:00
17,17,1519429380,1519447980,0,2018-02-23,23:43:00,2018-02-24,4:53:00
18,18,1519510380,1519541700,0,2018-02-24,22:13:00,2018-02-25,6:55:00
19,19,1519601520,1519627200,0,2018-02-25,23:32:00,2018-02-26,6:40:00
20,20,1519772580,1519804140,0,2018-02-27,23:03:00,2018-02-28,7:49:00
21,21,1519859580,1519890960,0,2018-02-28,23:13:00,2018-03-01,7:56:00
22,22,1519944540,1519975620,0,2018-03-01,22:49:00,2018-03-02,7:27:00
23,23,1520033340,1520063160,0,2018-03-02,23:29:00,2018-03-03,7:46:00
24,24,1520121600,1520151900,0,2018-03-04,0:00:00,2018-03-04,8:25:00
25,25,1520552460,1520583840,0,2018-03-08,23:41:00,2018-03-09,8:24:00
26,26,1520634780,1520665740,0,2018-03-09,22:33:00,2018-03-10,7:09:00
27,27,1520721360,1520754300,0,2018-03-10,22:36:00,2018-03-11,7:45:00
28,28,1520813640,1520846460,0,2018-03-12,0:14:00,2018-03-12,9:21:00
29,29,1521247080,1521274080,0,2018-03-17,0:38:00,2018-03-17,8:08:00
30,30,1521337500,1521373200,0,2018-03-18,1:45:00,2018-03-18,11:40:00
31,31,1521503820,1521541380,0,2018-03-19,23:57:00,2018-03-20,10:23:00
32,32,1521933600,1521965520,0,2018-03-24,23:20:00,2018-03-25,8:12:00
33,33,1522018740,1522051920,0,2018-03-25,22:59:00,2018-03-26,8:12:00
34,34,1522107660,1522142880,0,2018-03-26,23:41:00,2018-03-27,9:28:00
35,35,1522198920,1522235700,0,2018-03-28,1:02:00,2018-03-28,11:15:00
36,36,1522636800,1522674420,0,2018-04-02,2:40:00,2018-04-02,13:07:00
37,37,1522714380,1522745100,0,2018-04-03,0:13:00,2018-04-03,8:45:00
38,38,1522801620,1522828500,0,2018-04-04,0:27:00,2018-04-04,7:55:00
39,39,1522891380,1522928280,0,2018-04-05,1:23:00,2018-04-05,11:38:00
40,40,1523037720,1523048340,0,2018-04-06,18:02:00,2018-04-06,20:59:00
41,41,1523408160,1523434800,0,2018-04-11,0:56:00,2018-04-11,8:20:00
42,42,1523493720,1523526180,0,2018-04-12,0:42:00,2018-04-12,9:43:00
43,43,1523661300,1523694360,0,2018-04-13,23:15:00,2018-04-14,8:26:00
44,44,1523747700,1523782800,0,2018-04-14,23:15:00,2018-04-15,9:00:00
45,45,1524100080,1524129060,0,2018-04-19,1:08:00,2018-04-19,9:11:00
46,46,1524185160,1524214380,0,2018-04-20,0:46:00,2018-04-20,8:53:00
47,47,1524351720,1524378720,0,2018-04-21,23:02:00,2018-04-22,6:32:00
48,48,1524436980,1524466260,0,2018-04-22,22:43:00,2018-04-23,6:51:00
49,49,1524526020,1524552600,0,2018-04-23,23:27:00,2018-04-24,6:50:00
