,Unnamed: 0,startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
74,74,1492990980,1493024640,0,2017-04-23,23:43:00,2017-04-24,9:04:00
75,75,1493076840,1493111940,0,2017-04-24,23:34:00,2017-04-25,9:19:00
76,76,1493164560,1493180340,0,2017-04-25,23:56:00,2017-04-26,4:19:00
77,77,1493245800,1493266800,0,2017-04-26,22:30:00,2017-04-27,4:20:00
78,78,1493336460,1493366880,0,2017-04-27,23:41:00,2017-04-28,8:08:00
79,79,1493423040,1493455140,0,2017-04-28,23:44:00,2017-04-29,8:39:00
80,80,1493507640,1493536380,0,2017-04-29,23:14:00,2017-04-30,7:13:00
81,81,1493611980,1493643420,0,2017-05-01,4:13:00,2017-05-01,12:57:00
82,82,1493683320,1493723880,0,2017-05-02,0:02:00,2017-05-02,11:18:00
83,83,1493787900,1493812920,0,2017-05-03,5:05:00,2017-05-03,12:02:00
84,84,1493859720,1493885340,0,2017-05-04,1:02:00,2017-05-04,8:09:00
85,85,1493942100,1493972760,0,2017-05-04,23:55:00,2017-05-05,8:26:00
86,86,1494027900,1494058620,0,2017-05-05,23:45:00,2017-05-06,8:17:00
87,87,1494116940,1494146040,0,2017-05-07,0:29:00,2017-05-07,8:34:00
88,88,1494214500,1494241680,0,2017-05-08,3:35:00,2017-05-08,11:08:00
