,startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
0,1518263160,1518263968,2018-02-10,11:46:00,808,7,3.909090909,0,0.0,SEDENTARY,0
1,1518264000,1518264720,2018-02-10,12:00:00,720,7,4.6,0,0.0,SEDENTARY,0
2,1518264900,1518265440,2018-02-10,12:15:00,540,7,4.866666667,0,0.0,SEDENTARY,0
3,1518265800,1518266700,2018-02-10,12:30:00,900,3,1.266666667,0,0.0,SEDENTARY,0
4,1518266700,1518267600,2018-02-10,12:45:00,900,3,2.2,0,0.0,SEDENTARY,0
5,1518267600,1518268500,2018-02-10,13:00:00,900,3,1.666666667,0,0.0,SEDENTARY,0
6,1518268500,1518269340,2018-02-10,13:15:00,840,7,3.666666667,0,0.0,SEDENTARY,0
7,1518269400,1518270120,2018-02-10,13:30:00,720,7,3.666666667,0,0.0,SEDENTARY,0
8,1518270300,1518271200,2018-02-10,13:45:00,900,3,2.066666667,0,0.0,SEDENTARY,0
9,1518271200,1518272100,2018-02-10,14:00:00,900,2,1.0,0,0.0,SEDENTARY,0
10,1518272100,1518273000,2018-02-10,14:15:00,900,3,2.266666667,0,0.0,SEDENTARY,0
11,1518273000,1518273660,2018-02-10,14:30:00,660,7,4.266666667,0,0.0,SEDENTARY,0
12,1518273900,1518274800,2018-02-10,14:45:00,900,4,2.866666667,0,0.0,SEDENTARY,0
13,1518274800,1518275700,2018-02-10,15:00:00,900,3,0.8,0,0.0,SEDENTARY,0
14,1518275700,1518276600,2018-02-10,15:15:00,900,4,1.6,0,0.0,SEDENTARY,0
15,1518276600,1518277500,2018-02-10,15:30:00,900,3,1.4,0,0.0,SEDENTARY,0
16,1518277500,1518278400,2018-02-10,15:45:00,900,3,1.666666667,0,0.0,SEDENTARY,0
17,1518278400,1518279060,2018-02-10,16:00:00,660,7,4.2,0,0.0,SEDENTARY,0
18,1518279300,1518280080,2018-02-10,16:15:00,780,7,2.133333333,0,0.0,SEDENTARY,0
19,1518280200,1518281100,2018-02-10,16:30:00,900,3,2.133333333,0,0.0,SEDENTARY,0
20,1518281100,1518282000,2018-02-10,16:45:00,900,3,0.866666667,0,0.0,SEDENTARY,0
21,1518282000,1518282900,2018-02-10,17:00:00,900,4,1.733333333,0,0.0,SEDENTARY,0
22,1518282900,1518283500,2018-02-10,17:15:00,600,7,3.933333333,0,0.0,SEDENTARY,0
23,1518283800,1518284700,2018-02-10,17:30:00,900,3,1.866666667,0,0.0,SEDENTARY,0
24,1518284700,1518285600,2018-02-10,17:45:00,900,2,1.333333333,0,0.0,SEDENTARY,0
25,1518285600,1518286500,2018-02-10,18:00:00,900,4,2.0,0,0.0,SEDENTARY,0
26,1518286500,1518286920,2018-02-10,18:15:00,420,7,6.2,0,0.0,SEDENTARY,0
27,1518287400,1518288120,2018-02-10,18:30:00,720,7,4.533333333,0,0.0,SEDENTARY,0
28,1518288300,1518289200,2018-02-10,18:45:00,900,4,4.0,0,0.0,SEDENTARY,0
29,1518289200,1518290100,2018-02-10,19:00:00,900,4,4.0,0,0.0,SEDENTARY,0
30,1518290100,1518290760,2018-02-10,19:15:00,660,7,5.533333333,0,0.0,SEDENTARY,0
31,1518291000,1518291420,2018-02-10,19:30:00,420,7,6.133333333,0,0.0,SEDENTARY,0
32,1518291900,1518292080,2018-02-10,19:45:00,180,7,6.4,0,0.0,SEDENTARY,0
33,1518292800,1518293340,2018-02-10,20:00:00,540,7,6.2,0,0.0,SEDENTARY,0
34,1518293700,1518294420,2018-02-10,20:15:00,720,7,4.466666667,0,0.0,SEDENTARY,0
35,1518294600,1518295440,2018-02-10,20:30:00,840,7,3.866666667,0,0.0,SEDENTARY,0
36,1518295500,1518296340,2018-02-10,20:45:00,840,7,2.666666667,0,0.04,SEDENTARY,0
37,1518296400,1518297300,2018-02-10,21:00:00,900,3,2.066666667,0,0.0,SEDENTARY,0
38,1518297300,1518297780,2018-02-10,21:15:00,480,7,5.066666667,0,0.0,SEDENTARY,0
39,1518298200,1518298860,2018-02-10,21:30:00,660,7,6.0,0,0.0,SEDENTARY,0
40,1518299100,1518300720,2018-02-10,21:45:00,1620,7,5.909090909,0,0.0,SEDENTARY,0
41,1518300900,1518301800,2018-02-10,22:15:00,900,7,1.266666667,0,0.0,SEDENTARY,0
42,1518301800,1518302700,2018-02-10,22:30:00,900,2,0.4,0,0.0,SEDENTARY,0
43,1518302700,1518303600,2018-02-10,22:45:00,900,3,0.333333333,0,0.0,SEDENTARY,0
44,1518303600,1518304500,2018-02-10,23:00:00,900,4,0.8,0,0.0,SEDENTARY,0
45,1518304500,1518305400,2018-02-10,23:15:00,900,0,0.0,0,0.0,SEDENTARY,0
46,1518305400,1518306300,2018-02-10,23:30:00,900,3,0.4,0,0.0,SEDENTARY,0
47,1518306300,1518307200,2018-02-10,23:45:00,900,0,0.0,0,0.0,SEDENTARY,1
48,1518307200,1518308100,2018-02-11,0:00:00,900,2,0.133333333,0,0.0,SEDENTARY,0
49,1518308100,1518309000,2018-02-11,0:15:00,900,0,0.0,0,0.0,SEDENTARY,0
50,1518309000,1518309900,2018-02-11,0:30:00,900,0,0.0,0,0.0,SEDENTARY,0
51,1518309900,1518310800,2018-02-11,0:45:00,900,4,0.466666667,0,0.0,SEDENTARY,0
52,1518310800,1518311700,2018-02-11,1:00:00,900,1,0.066666667,0,0.0,SEDENTARY,0
53,1518311700,1518312600,2018-02-11,1:15:00,900,3,0.6,0,0.0,SEDENTARY,0
54,1518312600,1518313500,2018-02-11,1:30:00,900,3,0.2,0,0.0,SEDENTARY,0
55,1518313500,1518314400,2018-02-11,1:45:00,900,0,0.0,0,0.0,SEDENTARY,0
56,1518314400,1518315300,2018-02-11,2:00:00,900,4,0.266666667,0,0.0,SEDENTARY,0
57,1518315300,1518316200,2018-02-11,2:15:00,900,0,0.0,0,0.0,SEDENTARY,0
58,1518316200,1518317100,2018-02-11,2:30:00,900,2,0.666666667,0,0.0,SEDENTARY,0
59,1518317100,1518318000,2018-02-11,2:45:00,900,3,0.266666667,0,0.0,SEDENTARY,0
60,1518318000,1518318900,2018-02-11,3:00:00,900,3,0.333333333,0,0.0,SEDENTARY,0
61,1518318900,1518319800,2018-02-11,3:15:00,900,3,0.4,0,0.0,SEDENTARY,0
62,1518319800,1518320640,2018-02-11,3:30:00,840,7,0.533333333,0,0.0,SEDENTARY,0
63,1518320700,1518321600,2018-02-11,3:45:00,900,0,0.0,0,0.0,SEDENTARY,0
64,1518321600,1518322500,2018-02-11,4:00:00,900,3,0.2,0,0.0,SEDENTARY,0
65,1518322500,1518323400,2018-02-11,4:15:00,900,2,0.533333333,0,0.0,SEDENTARY,0
66,1518323400,1518324300,2018-02-11,4:30:00,900,4,0.333333333,0,0.0,SEDENTARY,0
67,1518324300,1518325200,2018-02-11,4:45:00,900,3,0.733333333,0,0.0,SEDENTARY,0
68,1518325200,1518326100,2018-02-11,5:00:00,900,4,1.0,0,0.0,SEDENTARY,0
69,1518326100,1518327000,2018-02-11,5:15:00,900,4,0.266666667,0,0.0,SEDENTARY,0
70,1518327000,1518327900,2018-02-11,5:30:00,900,4,0.8,0,0.0,SEDENTARY,0
71,1518327900,1518328800,2018-02-11,5:45:00,900,2,0.333333333,0,0.0,SEDENTARY,0
72,1518328800,1518329700,2018-02-11,6:00:00,900,3,0.4,0,0.0,SEDENTARY,0
73,1518329700,1518330600,2018-02-11,6:15:00,900,3,0.333333333,0,0.0,SEDENTARY,0
74,1518330600,1518331500,2018-02-11,6:30:00,900,3,0.2,0,0.0,SEDENTARY,0
75,1518331500,1518332400,2018-02-11,6:45:00,900,2,0.533333333,0,0.0,SEDENTARY,0
76,1518332400,1518333300,2018-02-11,7:00:00,900,3,0.933333333,0,0.0,SEDENTARY,0
77,1518333300,1518334200,2018-02-11,7:15:00,900,2,0.466666667,0,0.0,SEDENTARY,0
78,1518334200,1518335100,2018-02-11,7:30:00,900,2,0.266666667,0,0.0,SEDENTARY,0
79,1518335100,1518336000,2018-02-11,7:45:00,900,3,0.533333333,0,0.0,SEDENTARY,0
80,1518336000,1518336900,2018-02-11,8:00:00,900,2,0.466666667,0,0.0,SEDENTARY,0
81,1518336900,1518337800,2018-02-11,8:15:00,900,4,1.4,0,0.0,SEDENTARY,0
82,1518337800,1518338460,2018-02-11,8:30:00,660,7,4.666666667,0,0.0,SEDENTARY,0
83,1518338700,1518339120,2018-02-11,8:45:00,420,7,6.066666667,0,0.0,SEDENTARY,0
84,1518339600,1518340200,2018-02-11,9:00:00,600,7,6.066666667,0,0.0,SEDENTARY,0
85,1518340500,1518341340,2018-02-11,9:15:00,840,7,2.333333333,0,2.7,SEDENTARY,0
86,1518341400,1518342180,2018-02-11,9:30:00,780,7,3.866666667,0,1.11,SEDENTARY,0
87,1518342300,1518343080,2018-02-11,9:45:00,780,7,3.733333333,0,0.0,SEDENTARY,0
88,1518343200,1518343740,2018-02-11,10:00:00,540,7,5.466666667,0,0.0,SEDENTARY,0
89,1518344100,1518344880,2018-02-11,10:15:00,780,7,4.4,0,0.0,SEDENTARY,0
90,1518345000,1518345840,2018-02-11,10:30:00,840,7,3.266666667,0,0.0,SEDENTARY,0
