,startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
0,1486223280,1486223820,2017-02-04,15:48:00,540,7,4.916666667,0,0.0,SEDENTARY,0
1,1486224000,1486224900,2017-02-04,16:00:00,900,4,3.733333333,0,0.0,SEDENTARY,0
2,1486224900,1486225200,2017-02-04,16:15:00,300,7,2.266666667,0,0.0,SEDENTARY,0
3,1486225800,1486226700,2017-02-04,16:30:00,900,4,4.0,0,0.0,SEDENTARY,0
4,1486226700,1486226880,2017-02-04,16:45:00,180,7,6.066666667,0,0.0,SEDENTARY,0
5,1486227600,1486228411,2017-02-04,17:00:00,811,7,4.4,0,0.0,SEDENTARY,0
6,1486228500,1486229151,2017-02-04,17:15:00,651,7,5.533333333,0,0.0,SEDENTARY,0
7,1486229400,1486229987,2017-02-04,17:30:00,587,7,2.666666667,0,0.0,SEDENTARY,4
8,1486230300,1486231200,2017-02-04,17:45:00,900,3,0.933333333,0,0.0,SEDENTARY,0
9,1486231200,1486232072,2017-02-04,18:00:00,872,7,1.733333333,0,0.0,SEDENTARY,0
10,1486232100,1486232870,2017-02-04,18:15:00,770,7,5.266666667,0,0.0,SEDENTARY,0
11,1486233000,1486233900,2017-02-04,18:30:00,900,4,2.066666667,0,0.0,SEDENTARY,0
12,1486233900,1486234800,2017-02-04,18:45:00,900,2,1.466666667,0,0.0,SEDENTARY,0
13,1486234800,1486235700,2017-02-04,19:00:00,900,3,1.0,0,0.0,SEDENTARY,0
14,1486235700,1486236600,2017-02-04,19:15:00,900,4,2.866666667,0,0.0,SEDENTARY,0
15,1486236600,1486237500,2017-02-04,19:30:00,900,4,3.4,0,0.0,SEDENTARY,0
16,1486237500,1486238400,2017-02-04,19:45:00,900,4,3.0,0,0.0,SEDENTARY,0
17,1486238400,1486239300,2017-02-04,20:00:00,900,3,3.0,0,0.0,SEDENTARY,0
18,1486239300,1486240200,2017-02-04,20:15:00,900,4,1.933333333,0,0.0,SEDENTARY,0
19,1486240200,1486241100,2017-02-04,20:30:00,900,3,1.066666667,0,0.0,SEDENTARY,0
20,1486241100,1486242000,2017-02-04,20:45:00,900,4,2.8,0,0.0,SEDENTARY,0
21,1486242000,1486242900,2017-02-04,21:00:00,900,3,0.6,0,0.0,SEDENTARY,0
22,1486242900,1486243776,2017-02-04,21:15:00,876,7,2.866666667,0,0.0,SEDENTARY,0
23,1486243800,1486244700,2017-02-04,21:30:00,900,3,3.0,0,0.0,SEDENTARY,0
24,1486244700,1486245547,2017-02-04,21:45:00,847,7,4.4,0,0.0,SEDENTARY,4
25,1486245600,1486246499,2017-02-04,22:00:00,899,7,5.4,0,0.0,SEDENTARY,3
26,1486246500,1486247352,2017-02-04,22:15:00,852,7,3.933333333,0,0.0,SEDENTARY,0
27,1486247400,1486248300,2017-02-04,22:30:00,900,4,1.6,0,0.0,SEDENTARY,0
28,1486248300,1486249200,2017-02-04,22:45:00,900,0,0.0,0,0.0,SEDENTARY,0
29,1486249200,1486250100,2017-02-04,23:00:00,900,0,0.0,0,0.0,SEDENTARY,0
30,1486250100,1486251000,2017-02-04,23:15:00,900,0,0.0,0,0.0,SEDENTARY,0
31,1486251000,1486251900,2017-02-04,23:30:00,900,0,0.0,0,0.0,SEDENTARY,0
32,1486251900,1486252800,2017-02-04,23:45:00,900,3,1.0,0,0.0,SEDENTARY,0
33,1486252800,1486253700,2017-02-05,0:00:00,900,3,0.2,0,0.0,SEDENTARY,0
34,1486253700,1486254600,2017-02-05,0:15:00,900,3,0.2,0,0.0,SEDENTARY,0
35,1486254600,1486255500,2017-02-05,0:30:00,900,0,0.0,0,0.0,SEDENTARY,0
36,1486255500,1486256400,2017-02-05,0:45:00,900,0,0.0,0,0.0,SEDENTARY,0
37,1486256400,1486257300,2017-02-05,1:00:00,900,4,0.266666667,0,0.0,SEDENTARY,0
38,1486257300,1486258200,2017-02-05,1:15:00,900,0,0.0,0,0.0,SEDENTARY,0
39,1486258200,1486259100,2017-02-05,1:30:00,900,3,0.6,0,0.0,SEDENTARY,0
40,1486259100,1486260000,2017-02-05,1:45:00,900,3,0.4,0,0.0,SEDENTARY,0
41,1486260000,1486260900,2017-02-05,2:00:00,900,3,0.2,0,0.0,SEDENTARY,0
42,1486260900,1486261800,2017-02-05,2:15:00,900,0,0.0,0,0.0,SEDENTARY,0
43,1486261800,1486262700,2017-02-05,2:30:00,900,3,0.2,0,0.0,SEDENTARY,0
44,1486262700,1486263600,2017-02-05,2:45:00,900,0,0.0,0,0.0,SEDENTARY,0
45,1486263600,1486264500,2017-02-05,3:00:00,900,0,0.0,0,0.0,SEDENTARY,0
46,1486264500,1486265400,2017-02-05,3:15:00,900,3,0.266666667,0,0.0,SEDENTARY,0
47,1486265400,1486266300,2017-02-05,3:30:00,900,4,0.8,0,0.0,SEDENTARY,0
48,1486266300,1486267200,2017-02-05,3:45:00,900,0,0.0,0,0.0,SEDENTARY,0
49,1486267200,1486268100,2017-02-05,4:00:00,900,0,0.0,0,0.0,SEDENTARY,0
50,1486268100,1486269000,2017-02-05,4:15:00,900,0,0.0,0,0.0,SEDENTARY,0
51,1486269000,1486269900,2017-02-05,4:30:00,900,3,0.4,0,0.0,SEDENTARY,0
52,1486269900,1486270800,2017-02-05,4:45:00,900,2,0.533333333,0,0.0,SEDENTARY,0
53,1486270800,1486271700,2017-02-05,5:00:00,900,3,1.266666667,0,0.0,SEDENTARY,0
