,000_heartRate,015_heartRate,030_heartRate,045_heartRate,060_heartRate,075_heartRate,090_heartRate,105_heartRate,120_heartRate,135_heartRate,150_heartRate,165_heartRate,180_heartRate,195_heartRate,210_heartRate,225_heartRate,240_heartRate,255_heartRate,270_heartRate,285_heartRate,300_heartRate,315_heartRate,330_heartRate,345_heartRate,360_heartRate,375_heartRate,390_heartRate,405_heartRate,420_heartRate,435_heartRate,450_heartRate,465_heartRate,480_heartRate,495_heartRate,510_heartRate,525_heartRate,540_heartRate,555_heartRate,570_heartRate,585_heartRate,600_heartRate,615_heartRate,630_heartRate,645_heartRate,660_heartRate,675_heartRate,690_heartRate,705_heartRate,720_heartRate,735_heartRate,750_heartRate,765_heartRate,780_heartRate,795_heartRate,810_heartRate,825_heartRate,840_heartRate,855_heartRate,870_heartRate,885_heartRate,studyId,startTimeStamp,startDateTime,endTimeStamp,steps,distanceInMeters,maxMotionIntensity,meanMotionIntensity,sleepLabel
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111,111,111,111,111,111,111,111,111,111,S4,1517922000,2018-02-06 13:08:00,1517922900,0,0.0,5,4.142857143,0
1,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,S4,1517922900,2018-02-06 13:15:00,1517923800,0,0.0,7,6.4,0
2,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,S4,1517923800,2018-02-06 13:30:00,1517924700,0,0.0,7,2.466666667,0
3,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,S4,1517924700,2018-02-06 13:45:00,1517925600,0,0.0,7,3.266666667,0
4,106,106,106,106,106,106,106,106,106,106,106,106,106,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,S4,1517925600,2018-02-06 14:00:00,1517926500,0,0.0,7,2.133333333,0
5,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,S4,1517926500,2018-02-06 14:15:00,1517927400,0,0.04,7,1.866666667,0
6,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111,111,111,111,111,111,111,111,111,111,111,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,S4,1517927400,2018-02-06 14:30:00,1517928300,0,0.0,7,4.333333333,0
7,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,S4,1517928300,2018-02-06 14:45:00,1517929200,0,0.0,7,3.133333333,0
8,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,S4,1517929200,2018-02-06 15:00:00,1517930100,0,0.0,7,2.333333333,0
9,103,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,S4,1517930100,2018-02-06 15:15:00,1517931000,0,0.0,7,2.133333333,0
